sample_id,animal_id,group,vaccination,contrast
DGHG_V1_grouped_d1-d0,DGHG,grouped,V1,d1-d0
16C190_V1_grouped_d1-d0,16C190,grouped,V1,d1-d0
DGTE_V1_grouped_d1-d0,DGTE,grouped,V1,d1-d0
ZM34_V1_grouped_d1-d0,ZM34,grouped,V1,d1-d0
ZN21_V1_grouped_d1-d0,ZN21,grouped,V1,d1-d0
16C102_V1_grouped_d1-d0,16C102,grouped,V1,d1-d0
16C141_V1_grouped_d1-d0,16C141,grouped,V1,d1-d0
DGRK_V1_grouped_d1-d0,DGRK,grouped,V1,d1-d0
HXN_V1_grouped_d1-d0,HXN,grouped,V1,d1-d0
ZM12_V1_grouped_d1-d0,ZM12,grouped,V1,d1-d0
16C275_V1_grouped_d1-d0,16C275,grouped,V1,d1-d0
16C286_V1_grouped_d1-d0,16C286,grouped,V1,d1-d0
DGRW_V1_grouped_d1-d0,DGRW,grouped,V1,d1-d0
ZM07_V1_grouped_d1-d0,ZM07,grouped,V1,d1-d0
ZN09_V1_grouped_d1-d0,ZN09,grouped,V1,d1-d0
DGHG_V1_grouped_d3-d0,DGHG,grouped,V1,d3-d0
16C190_V1_grouped_d3-d0,16C190,grouped,V1,d3-d0
DGTE_V1_grouped_d3-d0,DGTE,grouped,V1,d3-d0
ZM34_V1_grouped_d3-d0,ZM34,grouped,V1,d3-d0
ZN21_V1_grouped_d3-d0,ZN21,grouped,V1,d3-d0
16C102_V1_grouped_d3-d0,16C102,grouped,V1,d3-d0
16C141_V1_grouped_d3-d0,16C141,grouped,V1,d3-d0
DGRK_V1_grouped_d3-d0,DGRK,grouped,V1,d3-d0
HXN_V1_grouped_d3-d0,HXN,grouped,V1,d3-d0
ZM12_V1_grouped_d3-d0,ZM12,grouped,V1,d3-d0
16C275_V1_grouped_d3-d0,16C275,grouped,V1,d3-d0
16C286_V1_grouped_d3-d0,16C286,grouped,V1,d3-d0
DGRW_V1_grouped_d3-d0,DGRW,grouped,V1,d3-d0
ZM07_V1_grouped_d3-d0,ZM07,grouped,V1,d3-d0
ZN09_V1_grouped_d3-d0,ZN09,grouped,V1,d3-d0
DGHG_V1_grouped_d7-d0,DGHG,grouped,V1,d7-d0
16C190_V1_grouped_d7-d0,16C190,grouped,V1,d7-d0
DGTE_V1_grouped_d7-d0,DGTE,grouped,V1,d7-d0
ZM34_V1_grouped_d7-d0,ZM34,grouped,V1,d7-d0
ZN21_V1_grouped_d7-d0,ZN21,grouped,V1,d7-d0
16C102_V1_grouped_d7-d0,16C102,grouped,V1,d7-d0
16C141_V1_grouped_d7-d0,16C141,grouped,V1,d7-d0
DGRK_V1_grouped_d7-d0,DGRK,grouped,V1,d7-d0
HXN_V1_grouped_d7-d0,HXN,grouped,V1,d7-d0
